t,G,I,B,Te,Treg
3.0100000000000002,-423.9873,2857.5702,475.4319,15.7666,1000.7005
3.02,-426.8408,2858.0082,455.3081,15.7148,1000.6933
3.0300000000000002,-429.6946,2858.4263,435.9178,15.6634,1000.6862
3.04,-432.5489,2858.8251,417.2440,15.6124,1000.6790
3.0500000000000003,-435.4035,2859.2053,399.2689,15.5617,1000.6718
3.06,-438.2585,2859.5675,381.9743,15.5113,1000.6646
3.0700000000000003,-441.1138,2859.9124,365.3416,15.4613,1000.6574
3.08,-443.9695,2860.2407,349.3515,15.4116,1000.6502
3.09,-446.8254,2860.5529,333.9841,15.3623,1000.6430
3.1,-449.6816,2860.8498,319.2191,15.3133,1000.6358
3.11,-452.5381,2861.1319,305.0358,15.2646,1000.6286
3.12,-455.3948,2861.3999,291.4125,15.2162,1000.6213
3.13,-458.2518,2861.6545,278.3275,15.1682,1000.6141
3.14,-461.1090,2861.8962,265.7582,15.1205,1000.6069
3.15,-463.9664,2862.1258,253.6816,15.0731,1000.5996
3.16,-466.8239,2862.3438,242.0742,15.0260,1000.5923
3.17,-469.6817,2862.5509,230.9119,14.9792,1000.5850
3.18,-472.5396,2862.7477,220.1718,14.9327,1000.5777
3.19,-475.3977,2862.9343,209.8531,14.8866,1000.5705
3.2,-478.2559,2863.1109,199.9501,14.8407,1000.5631
3.21,-481.1142,2863.2780,190.4525,14.7951,1000.5558
3.22,-483.9727,2863.4359,181.3501,14.7498,1000.5485
3.23,-486.8313,2863.5848,172.6322,14.7049,1000.5412
3.24,-489.6901,2863.7252,164.2880,14.6602,1000.5338
3.25,-492.5489,2863.8573,156.3063,14.6158,1000.5265
3.2600000000000002,-495.4079,2863.9814,148.6759,14.5716,1000.5191
3.27,-498.2669,2864.0980,141.3851,14.5278,1000.5118
3.2800000000000002,-501.1260,2864.2072,134.4224,14.4842,1000.5044
3.29,-503.9852,2864.3095,127.7756,14.4410,1000.4970
3.3000000000000003,-506.8445,2864.4051,121.4325,14.3979,1000.4897
3.31,-509.7039,2864.4943,115.3808,14.3552,1000.4823
3.3200000000000003,-512.5633,2864.5775,109.6076,14.3128,1000.4749
3.33,-515.4227,2864.6550,104.1002,14.2706,1000.4675
3.34,-518.2822,2864.7271,98.8454,14.2286,1000.4600
3.35,-521.1418,2864.7941,93.8298,14.1870,1000.4526
3.36,-524.0014,2864.8562,89.0398,14.1455,1000.4452
3.37,-526.8610,2864.9139,84.4617,14.1044,1000.4378
3.38,-529.7206,2864.9674,80.0814,14.0635,1000.4303
3.39,-532.5802,2865.0168,75.8933,14.0229,1000.4229
3.4,-535.4399,2865.0623,71.8953,13.9825,1000.4154
3.41,-538.2996,2865.1040,68.0826,13.9423,1000.4079
3.42,-541.1593,2865.1420,64.4499,13.9024,1000.4005
3.43,-544.0190,2865.1764,60.9921,13.8628,1000.3930
3.44,-546.8787,2865.2075,57.7038,13.8234,1000.3855
3.45,-549.7384,2865.2353,54.5794,13.7842,1000.3780
3.46,-552.5981,2865.2599,51.6131,13.7453,1000.3705
3.47,-555.4578,2865.2816,48.7990,13.7066,1000.3630
3.48,-558.3175,2865.3004,46.1311,13.6682,1000.3555
3.49,-561.1772,2865.3165,43.6031,13.6299,1000.3479
3.5,-564.0368,2865.3301,41.2087,13.5920,1000.3404
3.5100000000000002,-566.8965,2865.3412,38.9413,13.5542,1000.3329
3.52,-569.7561,2865.3500,36.7943,13.5167,1000.3253
3.5300000000000002,-572.6157,2865.3567,34.7606,13.4794,1000.3178
3.54,-575.4753,2865.3614,32.8334,13.4423,1000.3102
3.5500000000000003,-578.3349,2865.3642,31.0053,13.4054,1000.3027
3.56,-581.1944,2865.3653,29.2691,13.3688,1000.2951
3.5700000000000003,-584.0540,2865.3647,27.6173,13.3323,1000.2875
3.58,-586.9134,2865.3628,26.0421,13.2961,1000.2799
3.59,-589.7729,2865.3594,24.5406,13.2601,1000.2724
3.6,-592.6323,2865.3547,23.1156,13.2244,1000.2648
3.61,-595.4917,2865.3486,21.7649,13.1888,1000.2572
3.62,-598.3510,2865.3412,20.4859,13.1534,1000.2495
3.63,-601.2103,2865.3325,19.2761,13.1183,1000.2419
3.64,-604.0696,2865.3227,18.1330,13.0833,1000.2343
3.65,-606.9288,2865.3117,17.0538,13.0486,1000.2267
3.66,-609.7880,2865.2996,16.0360,13.0140,1000.2190
3.67,-612.6472,2865.2866,15.0767,12.9797,1000.2114
3.68,-615.5063,2865.2725,14.1732,12.9455,1000.2038
3.69,-618.3654,2865.2575,13.3226,12.9116,1000.1961
3.7,-621.2244,2865.2417,12.5220,12.8778,1000.1885
3.71,-624.0834,2865.2251,11.7684,12.8443,1000.1808
3.72,-626.9423,2865.2077,11.0588,12.8109,1000.1731
3.73,-629.8012,2865.1896,10.3901,12.7777,1000.1654
3.74,-632.6600,2865.1709,9.7592,12.7448,1000.1578
3.75,-635.5188,2865.1516,9.1628,12.7120,1000.1501
3.7600000000000002,-638.3776,2865.1318,8.5977,12.6794,1000.1424
3.77,-641.2362,2865.1114,8.0614,12.6469,1000.1347
3.7800000000000002,-644.0949,2865.0906,7.5547,12.6147,1000.1270
3.79,-646.9535,2865.0693,7.0770,12.5827,1000.1193
3.8000000000000003,-649.8120,2865.0475,6.6271,12.5508,1000.1115
3.81,-652.6705,2865.0253,6.2039,12.5191,1000.1038
3.8200000000000003,-655.5290,2865.0027,5.8062,12.4876,1000.0961
3.83,-658.3874,2864.9797,5.4329,12.4562,1000.0884
3.84,-661.2457,2864.9563,5.0828,12.4251,1000.0806
3.85,-664.1040,2864.9326,4.7548,12.3941,1000.0729
3.86,-666.9622,2864.9085,4.4475,12.3633,1000.0651
3.87,-669.8204,2864.8842,4.1597,12.3326,1000.0574
3.88,-672.6785,2864.8595,3.8903,12.3021,1000.0496
3.89,-675.5366,2864.8346,3.6379,12.2718,1000.0418
3.9,-678.3946,2864.8094,3.4014,12.2417,1000.0341
3.91,-681.2526,2864.7840,3.1792,12.2117,1000.0263
3.92,-684.1105,2864.7584,2.9703,12.1819,1000.0185
3.93,-686.9684,2864.7326,2.7732,12.1523,1000.0107
3.94,-689.8262,2864.7066,2.5874,12.1228,1000.0029
3.95,-692.6839,2864.6805,2.4129,12.0935,999.9951
3.96,-695.5416,2864.6542,2.2493,12.0643,999.9873
3.97,-698.3993,2864.6277,2.0961,12.0353,999.9795
3.98,-701.2569,2864.6011,1.9528,12.0065,999.9717
3.99,-704.1144,2864.5744,1.8189,11.9778,999.9639
4.0,-706.9719,2864.5475,1.6939,11.9493,999.9561
4.01,-709.8293,2864.5205,1.5774,11.9209,999.9482
4.0200000000000005,-712.6866,2864.4934,1.4687,11.8927,999.9404
4.03,-715.5440,2864.4661,1.3675,11.8646,999.9326
