t,M,Ma,B,Ba,Bn,G,I,D,tD,E,R,Em
0.124,5397.1719,769.1880,298.2052,2572442.0390,80185.3612,26.9144,42.9498,348.6554,17038.7649,54.5973,54.5948,0.0446
0.125,5429.0481,786.8401,298.1897,2592515.6317,81466.2717,26.9074,42.9464,356.4128,17281.8324,55.0349,55.0322,0.0449
0.126,5460.6795,804.7354,298.1743,2612578.5753,82757.0448,26.9014,42.9458,364.2681,17525.9170,55.4725,55.4696,0.0452
0.127,5492.0655,822.8747,298.1589,2632630.8721,84057.6738,26.8961,42.9475,372.2213,17771.0007,55.9100,55.9070,0.0455
0.128,5523.2053,841.2585,298.1434,2652672.5242,85368.1517,26.8916,42.9508,380.2725,18017.0654,56.3476,56.3443,0.0458
0.129,5554.0984,859.8877,298.1280,2672703.5336,86688.4718,26.8876,42.9552,388.4215,18264.0927,56.7851,56.7815,0.0461
0.13,5584.7441,878.7629,298.1125,2692723.9023,88018.6272,26.8840,42.9603,396.6686,18512.0646,57.2226,57.2188,0.0464
0.131,5615.1416,897.8849,298.0971,2712733.6325,89358.6111,26.8807,42.9656,405.0135,18760.9627,57.6601,57.6560,0.0466
0.132,5645.2906,917.2542,298.0816,2732732.7260,90708.4165,26.8776,42.9707,413.4564,19010.7689,58.0976,58.0931,0.0469
0.133,5675.1902,936.8715,298.0662,2752721.1849,92068.0367,26.8746,42.9752,421.9971,19261.4651,58.5350,58.5303,0.0471
0.134,5704.8401,956.7374,298.0507,2772699.0111,93437.4647,26.8716,42.9789,430.6356,19513.0331,58.9724,58.9674,0.0474
0.135,5734.2397,976.8524,298.0353,2792666.2065,94816.6939,26.8686,42.9815,439.3719,19765.4548,59.4098,59.4044,0.0476
0.136,5763.3884,997.2172,298.0198,2812622.7731,96205.7172,26.8654,42.9827,448.2059,20018.7121,59.8472,59.8414,0.0478
0.137,5792.2858,1017.8323,298.0044,2832568.7128,97604.5278,26.8621,42.9823,457.1375,20272.7868,60.2846,60.2784,0.0480
0.138,5820.9313,1038.6981,297.9889,2852504.0275,99013.1188,26.8585,42.9803,466.1666,20527.6609,60.7220,60.7154,0.0482
0.139,5849.3246,1059.8153,297.9735,2872428.7190,100431.4835,26.8547,42.9765,475.2931,20783.3163,61.1593,61.1523,0.0484
0.14,5877.4653,1081.1842,297.9580,2892342.7891,101859.6148,26.8506,42.9709,484.5169,21039.7349,61.5967,61.5892,0.0486
0.14100000000000001,5905.3528,1102.8053,297.9425,2912246.2396,103297.5060,26.8463,42.9635,493.8379,21296.8987,62.0340,62.0261,0.0488
0.14200000000000002,5932.9869,1124.6790,297.9271,2932139.0724,104745.1502,26.8417,42.9542,503.2558,21554.7897,62.4713,62.4629,0.0490
0.14300000000000002,5960.3672,1146.8058,297.9116,2952021.2893,106202.5404,26.8368,42.9433,512.7707,21813.3898,62.9086,62.8997,0.0491
0.14400000000000002,5987.4933,1169.1860,297.8961,2971892.8919,107669.6699,26.8316,42.9308,522.3822,22072.6810,63.3459,63.3365,0.0493
0.145,6014.3649,1191.8200,297.8807,2991753.8820,109146.5317,26.8263,42.9169,532.0903,22332.6454,63.7832,63.7732,0.0494
0.146,6040.9818,1214.7081,297.8652,3011604.2614,110633.1189,26.8208,42.9018,541.8947,22593.2650,64.2204,64.2099,0.0496
0.147,6067.3436,1237.8507,297.8497,3031444.0316,112129.4246,26.8152,42.8857,551.7952,22854.5218,64.6577,64.6466,0.0497
0.148,6093.4502,1261.2480,297.8342,3051273.1945,113635.4421,26.8096,42.8690,561.7917,23116.3979,65.0950,65.0833,0.0498
0.149,6119.3012,1284.9004,297.8188,3071091.7515,115151.1642,26.8039,42.8520,571.8839,23378.8753,65.5322,65.5199,0.0500
0.15,6144.8965,1308.8080,297.8033,3090899.7045,116676.5843,26.7984,42.8351,582.0716,23641.9362,65.9695,65.9564,0.0501
0.151,6170.2359,1332.9712,297.7878,3110697.0549,118211.6953,26.7932,42.8186,592.3545,23905.5626,66.4067,66.3930,0.0502
0.152,6195.3192,1357.3901,297.7723,3130483.8044,119756.4904,26.7882,42.8032,602.7324,24169.7366,66.8440,66.8295,0.0503
0.153,6220.1464,1382.0648,297.7568,3150259.9545,121310.9626,26.7837,42.7893,613.2050,24434.4405,67.2812,67.2660,0.0503
0.154,6244.7172,1406.9957,297.7414,3170025.5067,122875.1051,26.7797,42.7775,623.7720,24699.6562,67.7184,67.7024,0.0504
0.155,6269.0316,1432.1828,297.7259,3189780.4627,124448.9109,26.7765,42.7683,634.4332,24965.3660,68.1557,68.1389,0.0505
